TEXT,REACTION
He blinked at the bright light 💡,neutral
She opened the pencil box ✏️,neutral
He folded the napkin neatly 🍽️,neutral
They waited for the teacher patiently 🧍,neutral
He forgot to wear socks 🧦,negative
She spilled milk on her book 🥛📖,negative
They shouted during class 📢,negative
He stepped on his toy car 🧸😣,negative
She cried when her balloon popped 🎈😭,negative
He lost his pencil case ✏️😞,negative
She got mud on her shoes 👞😟,negative
They tore the paper craft 📄💔,negative
He fell while running 🏃‍♂️😢,negative
She yelled at her little brother 😠,negative
He offered his snack to his friend 🍪,positive
They clapped after the puppet show 🎭👏,positive
She watched the sunset with mom 🌇,positive
He whispered a joke to me 🤫,positive
They enjoyed the bubbles in the bath 🛁,positive
She hummed while painting 🎨🎵,positive
He tucked in his shirt properly 👕,positive
She pet the neighborhood cat 🐱,positive
They waited quietly in line 🚶‍♀️,neutral
He stared at the fish in the pond 🐟,neutral
She counted the blocks aloud 🔢,neutral
They stood beside the bench 🪑,neutral
He blinked at the bright flash 💥,neutral
She opened the classroom window 🪟,neutral
He sniffled during reading time 🤧,neutral
They tiptoed into the room 🤫,neutral
She bumped into her desk 😓,negative
He dropped his lunch on the floor 🍱😩,negative
They argued about the last toy 😡,negative
She got paint on her hair 🎨😬,negative
He pouted after losing the game 😞,negative
She stomped away from the room 😠,negative
They yelled at each other loudly 😤,negative
He got scolded for being late 😟,negative
She slipped on the wet floor 😣,negative
They dropped all the crayons 🖍️😓,negative
He gave his toy to a friend 🧸,positive
She helped zip her brother's jacket 🧥,positive
They cheered for their team 🥳,positive
He brushed his teeth without help 🪥,positive
She opened the storybook 📖,positive
They shared the last slice of cake 🍰,positive
He made a paper airplane ✈️,positive
She tied her ponytail 🎀,positive
He waited patiently in the hallway 🚶‍♂️,neutral
She fixed the puzzle pieces 🧩,neutral
He zipped up his bag 🎒,neutral
They sat on the floor mats 🪑,neutral
She arranged her books 📚,neutral
He stared at the ceiling fan 🌀,neutral
She dropped her juice box 😓,negative
He tore his homework accidentally 😖,negative
She cried after the toy broke 😭,negative
He lost his notebook 😞,negative
They spilled popcorn on the couch 🍿😩,negative
She scratched her arm while playing 🤕,negative
He slipped while running inside 😬,negative
She shouted during nap time 😠,negative
He tripped over his shoelace 👟😣,negative
They yelled at the TV during a cartoon 📺😤,negative
He gave a toy to his sister 🧸❤️,positive
She kissed her teddy bear goodnight 🧸💤,positive
They built sandcastles at the beach 🏖️,positive
He colored inside the lines 🎨✅,positive
She found a ladybug and smiled 🐞😊,positive
He put away his shoes properly 👞,positive
She smiled at the rainbow 🌈,positive
They laughed during the game 😄🎲,positive
He helped with the groceries 🛒,positive
She shared her favorite book 📚💖,positive
She closed her notebook quietly,Neutral
He painted with blue and green colors,Positive
They jumped over puddles together,Positive
She braided her doll's hair neatly,Positive
He packed his bag before dinner,Neutral
They lined up after the bell rang,Neutral
She folded her sweater and kept it aside,Neutral
He circled the right answer,Positive
They whispered secrets under the table,Neutral
She placed the book on the shelf,Neutral
He turned off the light before leaving,Positive
They played hide and seek indoors,Positive
She hummed a lullaby while waiting,Positive
He erased the chalkboard carefully,Neutral
They matched the socks by color,Neutral
She dusted the toy shelf lightly,Neutral
He traced the drawing with a pencil,Neutral
They practiced spelling together,Positive
She tied the gift box with ribbon,Positive
He fetched a glass of water,Neutral
They stacked their plates after lunch,Positive
She helped him button his shirt,Positive
He drew a house with a chimney,Positive
They repeated the rhyme together,Positive
She poured cereal into the bowl,Neutral
He scribbled on the notepad,Neutral
They watched the ants on the ground,Neutral
She wrapped her scarf before leaving,Neutral
He counted his marbles in a jar,Positive
They watered the small plants,Positive
She peeked behind the curtain,Neutral
He locked the cupboard,Neutral
They separated the pencils by color,Positive
She placed her shoes neatly,Positive
He covered the jar with a lid,Neutral
They stirred the batter with a spoon,Positive
She waited near the kitchen door,Neutral
He tapped the drum twice,Neutral
They washed their paintbrushes,Positive
She brushed crumbs off the table,Neutral
He straightened his collar,Neutral
They held hands while walking,Positive
She turned the page slowly,Neutral
He filled his bottle at the sink,Neutral
They dusted the chairs,Neutral
She watched the clothes dry,Neutral
He poked a hole in the paper,Negative
They folded the paper stars,Positive
She lifted the lid gently,Neutral
He pulled the drawer open,Neutral
They stacked cups in a row,Positive
She counted stars on the ceiling,Neutral
He tied his shoelaces again,Neutral
They handed out papers in class,Positive
She marked her name on the sheet,Neutral
He jumped onto the last step,Positive
They balanced books on their heads,Positive
She smiled after finishing her drawing,Positive
He arranged blocks by size,Positive
They took turns at the swing,Positive
She placed her cup in the sink,Neutral
He rubbed his eyes sleepily,Neutral
They measured the water with a jug,Neutral
She walked beside her mother,Positive
He opened the snack box slowly,Neutral
They pushed the table back,Neutral
She adjusted the chair cushion,Neutral
He cleaned his spectacles,Neutral
They checked the toy basket,Neutral
She labeled her drawing with her name,Positive
He painted stripes on the wall,Positive
They leaned against the door,Neutral
She bent to pick up a coin,Neutral
He flipped the card over,Neutral
They patted the puppy's head,Positive
She trimmed the paper edge,Neutral
He dropped the spoon on the floor,Negative
They waited for the story to start,Neutral
She shook the juice bottle,Neutral
He ran to fetch the towel,Neutral
They opened the puzzle box,Positive
She organized her color pencils,Positive
He taped the torn page,Positive
They stood quietly in line,Neutral
She fixed the toy wheels,Positive
He stared at the moving fan,Neutral
They clapped at the right moment,Positive
She turned her chair to the side,Neutral
He poured water into the mug,Neutral
They knelt near the sandbox,Neutral
She stacked the empty boxes,Neutral
He circled the right number,Positive
They checked their bags for pencils,Neutral
She zipped the pouch slowly,Neutral
He peeled the sticker off carefully,Neutral
They arranged the chairs in a circle,Neutral
She tugged at her sleeves,Neutral
He kicked the small ball under the bed,Neutral
They stepped over the cushion,Neutral
She rolled the blanket tightly,Neutral
He counted the cookies on the plate,Neutral
She opened her diary to write a note,Positive
They traced shapes on the floor,Positive
He balanced the pencil on his finger,Positive
She carefully closed the window,Neutral
They looked out the window silently,Neutral
He touched the warm cup on the table,Neutral
She placed a bookmark inside the book,Neutral
They bent over to tie their shoelaces,Neutral
He stirred the soup in the bowl,Neutral
She combed her hair in front of the mirror,Neutral
They picked crayons from the box,Positive
He rubbed the window to clear the fog,Neutral
She stretched her arms after waking up,Neutral
They waited for their turn patiently,Positive
He adjusted the time on the clock,Neutral
She straightened the edge of the carpet,Neutral
They poured juice into small cups,Neutral
He opened the lid of the toy box,Neutral
She clutched the pillow while resting,Neutral
They closed the notebook after class,Neutral
He clicked the pen twice,Neutral
She tore a page from her notebook,Negative
They rolled a dice to begin the game,Positive
He dropped water on his drawing,Negative
She held the kitten carefully,Positive
They listened to the story quietly,Positive
He leaned on the desk with both elbows,Neutral
She clapped when the song ended,Positive
They cleaned up after painting,Positive
He flipped through the magazine quickly,Neutral
She looked for her missing sock,Neutral
They turned on the fan in the room,Neutral
He picked up the paper from the floor,Positive
She filled the cup halfway,Neutral
They rearranged the cushions on the couch,Neutral
He placed a lid on the food container,Neutral
She unzipped her backpack slowly,Neutral
They opened the lunchboxes together,Positive
He cleaned the mud off his shoes,Positive
She placed the puzzle piece correctly,Positive
They whispered a plan before the game,Positive
He stacked the books by height,Neutral
She reached for the highest shelf,Neutral
They cheered after solving the puzzle,Positive
He leaned closer to hear the instructions,Neutral
She dropped her pen accidentally,Negative
They wrapped the gift box carefully,Positive
He folded the paper airplane,Positive
She closed the curtain to block the sun,Neutral
They clapped after the short skit,Positive
He peeped into the cupboard curiously,Neutral
She tied her scarf before stepping out,Neutral
They packed the toys in the storage box,Positive
He scooped rice onto his plate,Neutral
She wiped her face with a napkin,Neutral
They placed their feet on the welcome mat,Neutral
He opened the snack packet loudly,Neutral
She clicked the light switch twice,Neutral
They watched the clock hands move,Neutral
He polished his school shoes,Positive
She painted dots on the cardboard,Positive
They helped clean the craft table,Positive
He leaned against the wall while waiting,Neutral
She searched for her missing eraser,Neutral
They carefully cut the colored paper,Positive
He touched the cold window glass,Neutral
She smiled after solving the question,Positive
They sang softly during cleanup time,Positive
He adjusted the curtain’s edge,Neutral
She placed a note inside her pencil box,Neutral
They organized toys into the right basket,Positive
He scribbled names on the whiteboard,Neutral
She pushed the chair gently,Neutral
They waved as they left the classroom,Positive
He nodded after understanding the question,Positive
She picked up broken pieces of chalk,Negative
They leaned in to hear the whisper,Neutral
He sharpened his pencil slowly,Neutral
She gently closed the bathroom door,Neutral
They cleaned their shoes with tissues,Positive
He spread glue on the paper evenly,Neutral
She smiled while coloring the sketch,Positive
They turned the calendar page,Neutral
He dropped his lunchbox accidentally,Negative
She clapped softly at the performance,Positive
They crossed arms in fun,Positive
He passed the ball under the table,Neutral
She held her drawing up for display,Positive
They carefully peeled the sticker off,Neutral
He dried his hands with a towel,Neutral
She lifted the tray and walked away,Neutral
They followed the footprints in mud,Positive
He leaned over to reach the light switch,Neutral
She stacked the cups without noise,Neutral
They dusted the bookshelves together,Positive
He looked up and counted clouds,Positive
She buttoned up her coat,Neutral
They packed away their books for the day,Neutral
He flipped the chair upright again,Neutral
Do you have this in a smaller size? 🧾,Neutral
Is there any discount on this item? 🛍️,Positive
Where can I find the checkout? 🛒,Neutral
This is exactly what I needed! 😊,Positive
Why is this so expensive? 😠,Negative
Can I return this if it doesn’t fit? 🤔,Neutral
It’s out of stock again? 😤,Negative
The staff was really helpful! 🎉,Positive
I love this new collection. 😍,Positive
Do you accept digital payments? 📦,Neutral
These prices are unbelievable! 👍,Positive
Could you help me with the bill? 🧾,Neutral
"I’m just browsing, thank you. 😐",Neutral
That’s a great deal! 🛍️,Positive
I’ll think about it and come back. 🛒,Neutral
This doesn't match the online price. 😕,Negative
The fitting room is full. 😤,Negative
I got a membership discount! 🎉,Positive
This quality feels premium. 😍,Positive
I was looking for something like this. 😊,Positive
This item is on clearance? 📦,Neutral
It looks better online. 🙄,Negative
The cashier was really polite. 👍,Positive
I’ll check the price scanner. 🧾,Neutral
Is this buy-one-get-one-free? 🤔,Neutral
I saw this cheaper elsewhere. 😕,Negative
"Wow, that’s a good price! 🛍️",Positive
Do you have any loyalty points system? 🛒,Neutral
This is way out of my budget. 😠,Negative
I need help finding the aisle. 📦,Neutral
This just went on sale! 🎉,Positive
I’m going to use a gift card. 😊,Positive
Is this item refundable? 🤔,Neutral
How long is the return period? 🧾,Neutral
This color suits me well. 😍,Positive
I need a different size. 📦,Neutral
The line is too long. 😠,Negative
Can I get this gift-wrapped? 🛍️,Positive
Do you charge for carry bags? 🛒,Neutral
I found this on your app. 📦,Neutral
It's too crowded today. 😤,Negative
I love the layout of this store. 😍,Positive
Can I pay by UPI? 🤔,Neutral
The app shows a different price. 😕,Negative
The trial room is clean. 👍,Positive
It’s hard to find assistance. 😠,Negative
Thank you for the quick service! 🎉,Positive
I forgot my loyalty card. 😐,Neutral
These shelves are messy. 🙄,Negative
I found everything I needed. 😊,Positive
Are there more colors available? 🧾,Neutral
I’m paying with a gift voucher. 📦,Neutral
These tags are confusing. 😕,Negative
This is perfect for gifting! 🛍️,Positive
Where’s the billing counter? 🛒,Neutral
This store has good lighting. 👍,Positive
It's too noisy here. 😠,Negative
I like how things are arranged. 😊,Positive
I couldn’t find parking. 😤,Negative
Do you take card payments? 🤔,Neutral
This is cheaper than I expected! 🎉,Positive
Your website says it's in stock. 🙄,Negative
Do you have a festive offer? 🛍️,Positive
My cart is full now. 🛒,Neutral
This size is perfect. 😍,Positive
Can I get a paper bag? 🧾,Neutral
This is the last piece? 😕,Negative
I’m so happy with this find! 🎉,Positive
Please keep this aside for me. 🤔,Neutral
This was not marked clearly. 😠,Negative
Do you validate parking tickets? 📦,Neutral
This mirror is too small. 😤,Negative
What’s your return window? 🧾,Neutral
I got a freebie with this! 🛍️,Positive
The staff here is slow. 😕,Negative
I got everything under budget! 😊,Positive
Can I try this on? 🤔,Neutral
This material feels cheap. 😠,Negative
I like the variety here. 😍,Positive
The barcode isn’t scanning. 🙄,Negative
This store smells nice. 🎉,Positive
I can't find the price tag. 🧾,Neutral
These hangers are broken. 😤,Negative
I want this in another color. 🛍️,Positive
Please call a store assistant. 📦,Neutral
Why is the AC not working? 😠,Negative
It was a smooth checkout. 😊,Positive
Can I leave my bag here? 🤔,Neutral
I had to wait too long. 😤,Negative
This offer is awesome! 🎉,Positive
Where do I queue up? 🧾,Neutral
The billing took forever. 😠,Negative
I'm coming back next weekend. 😊,Positive
Can I split the bill? 🤔,Neutral
There’s no mirror here. 🙄,Negative
This bag is just my style. 😍,Positive
You’ve run out of carry bags. 📦,Neutral
Can you hold this at the counter? 🧾,Neutral
Is this machine working? 🤔,Neutral
Great value for money! 🛍️,Positive
Do you have a trial room here? 🤔,Neutral
I think I saw this item on sale last week. 🧾,Neutral
Can someone assist me here? 📦,Neutral
I love how organized everything is! 🎉,Positive
This rack is empty again? 😕,Negative
Thanks for the fast checkout. 😊,Positive
This queue is way too long. 😤,Negative
Your in-store playlist is great! 🛍️,Positive
I can’t seem to find my size. 🤔,Neutral
These shelves are really high. 😕,Negative
This dress is absolutely stunning! 😍,Positive
I'm not happy with the service. 😠,Negative
Can I reserve this item for later? 🧾,Neutral
Do you have this in red? 📦,Neutral
The store looks festive today! 🎉,Positive
This price tag is missing. 😕,Negative
This is cheaper than expected! 😊,Positive
The scanner isn't working. 😠,Negative
Is there a mirror around? 🤔,Neutral
You guys have great offers! 🛍️,Positive
This corner is too dark. 😤,Negative
I love shopping here. 😍,Positive
Do you take Sodexo coupons? 🧾,Neutral
The item is damaged. 😕,Negative
I'm glad I stopped by today! 🎉,Positive
Do you accept returns without a bill? 🤔,Neutral
There's no staff in this section. 😠,Negative
This deal is unbelievable! 🛍️,Positive
Can I pay at the self-checkout? 📦,Neutral
It’s freezing in here! 😤,Negative
Your staff is very courteous. 😊,Positive
Do you sell gift cards? 🧾,Neutral
I can’t reach the top shelf. 😕,Negative
I love your bag collection! 😍,Positive
No one is responding. 😠,Negative
You have such unique items! 🎉,Positive
Can you gift wrap this for me? 🤔,Neutral
The restroom is not clean. 😤,Negative
I didn’t expect such good service. 😊,Positive
This item isn’t scanning properly. 😕,Negative
I’ll add this to my wishlist! 🛍️,Positive
The card machine is down. 😠,Negative
Do you offer same-day delivery? 🧾,Neutral
I love the ambiance here. 😍,Positive
The floors are slippery. 😤,Negative
It’s always a great experience here. 🎉,Positive
Can you show me more options? 🤔,Neutral
There's no change at the counter. 😕,Negative
I’ll recommend this place to friends! 😊,Positive
Why is this area closed? 😠,Negative
Is this the final price or negotiable? 🧾,Neutral
This is such a cozy store! 😍,Positive
My shopping bag tore apart. 😤,Negative
Thanks for the student discount! 🎉,Positive
Can you check stock at another store? 🤔,Neutral
There's no billing staff available. 😠,Negative
This perfume smells amazing! 🛍️,Positive
Is this item machine washable? 🧾,Neutral
I need help choosing a gift. 📦,Neutral
You’ve made my day! 😊,Positive
Why is this shelf always empty? 😕,Negative
I adore your window display! 😍,Positive
The scanner is too slow. 😤,Negative
Do you give carry bags for free? 🤔,Neutral
This top fits perfectly! 🎉,Positive
Can I get this altered here? 🧾,Neutral
The music is too loud. 😠,Negative
I'm definitely coming back! 😊,Positive
Why is everything so disorganized? 😕,Negative
What are today’s offers? 📦,Neutral
The kids’ section is adorable! 😍,Positive
I waited 15 minutes at the counter. 😤,Negative
This was a pleasant surprise! 🎉,Positive
Can I try these shoes on? 🤔,Neutral
My voucher isn’t valid? 😠,Negative
This jacket feels premium! 😊,Positive
Where is the men's section? 🧾,Neutral
I don't like the fabric. 😕,Negative
These shelves are well organized. 😍,Positive
That cashier was rude. 😠,Negative
What are the membership perks? 📦,Neutral
This is a steal deal! 🎉,Positive
I need this in a bigger size. 🤔,Neutral
There’s litter on the floor. 😤,Negative
That scarf matches perfectly! 😊,Positive
Is this outlet exclusive? 🧾,Neutral
This isn’t the price listed online. 😕,Negative
I love the staff's friendliness! 🛍️,Positive
Your air conditioning is too low. 😠,Negative
Thanks for the complimentary sample! 🎉,Positive
Do you ship internationally? 🤔,Neutral
Why is there no trial room here? 😤,Negative
This discount made my day! 😊,Positive
This size isn't available online. 📦,Neutral
I can't believe how rude that staff was. 😠,Negative
You have great seasonal sales! 🛍️,Positive
Can I exchange without the bill? 🧾,Neutral
This was such a waste of time. 😤,Negative
What a lovely new collection! 😍,Positive
Do you validate weekend parking? 🤔,Neutral
That’s a fair price.,Positive
Could you pack this separately?,Neutral
Why is the billing system so slow?,Negative
These jeans fit really well.,Positive
Where can I find accessories?,Neutral
This place is too crowded.,Negative
Everything looks so fresh and clean.,Positive
Can I collect this tomorrow?,Neutral
You’ve run out of the new stock?,Negative
I’m impressed with your eco-friendly bags.,Positive
Can I use this coupon now?,Neutral
This smells weird.,Negative
Your return policy is amazing.,Positive
What is the exchange policy?,Neutral
Why is no one attending me?,Negative
The lights make the display look stunning!,Positive
Do you offer gift receipts?,Neutral
This shelf is dusty.,Negative
Great service as always!,Positive
Is there a membership card?,Neutral
The billing guy was rude.,Negative
I enjoy shopping here with my kids.,Positive
Can you hold this item for me?,Neutral
Prices seem inflated.,Negative
I love the seasonal decor here!,Positive
Where’s the lift or escalator?,Neutral
It took too long to find help.,Negative
I found everything I needed!,Positive
Can you show me the latest collection?,Neutral
This shelf is messy.,Negative
The fragrance section is beautiful.,Positive
Are these prices inclusive of tax?,Neutral
I didn’t receive the discount mentioned.,Negative
That was a smooth checkout experience!,Positive
Do you offer paper bags?,Neutral
Why are there hidden charges?,Negative
I liked the display near the entrance.,Positive
Are there trial rooms on this floor?,Neutral
You’re out of my favorite brand again?,Negative
I always find something unique here!,Positive
Can I pre-order this item?,Neutral
The queue management is terrible.,Negative
This is the perfect gift!,Positive
Where’s the billing counter?,Neutral
This shirt has a stain.,Negative
I love the lighting in your store.,Positive
What’s the expiry on this product?,Neutral
The trolleys are broken.,Negative
I’m so glad I found this!,Positive
Do you have a mobile app?,Neutral
Why is your website saying something else?,Negative
That was fast delivery!,Positive
How do I use this voucher code?,Neutral
This billing slip is incorrect.,Negative
Everything is neatly arranged.,Positive
Can you suggest something in budget?,Neutral
The air conditioning isn’t working.,Negative
I’m happy with the packaging.,Positive
Is this the best you can offer?,Neutral
No parking space available?,Negative
The billing queue was quick today!,Positive
Can I get this delivered to another city?,Neutral
This display isn’t attractive.,Negative
You really maintain your store well.,Positive
Can I buy now and pick up later?,Neutral
There’s no sanitizer at the entrance.,Negative
You guys are always stocked well!,Positive
Can I speak to the store manager?,Neutral
I received an expired product.,Negative
I love your offers section!,Positive
Is there an extra fee for COD?,Neutral
The product is not as shown online.,Negative
This is exactly what I came for!,Positive
Are your stores open on holidays?,Neutral
The floor is sticky.,Negative
I’ll bring my friends next time!,Positive
How do I apply for a loyalty card?,Neutral
I was overcharged on this bill.,Negative
The fragrance options are excellent!,Positive
Where is the billing section?,Neutral
No staff is responding.,Negative
I’ll definitely shop here again.,Positive
Can you update me if it’s back in stock?,Neutral
I’ve been standing in line for too long.,Negative
That was the best price in town!,Positive
Where do I return an online order?,Neutral
Why are there no trial rooms here?,Negative
My experience was really smooth.,Positive
Is the sale only for members?,Neutral
The billing took too long.,Negative
You always surprise me with variety!,Positive
Can I pay through UPI?,Neutral
The stock is not updated.,Negative
This product looks amazing!,Positive
What are the store hours?,Neutral
No receipt was provided.,Negative
I’ve got everything in one place.,Positive
Do you charge for delivery?,Neutral
The staff ignored my request.,Negative
I really enjoyed shopping today.,Positive
I love how the products are categorized.,Positive
Can I get this gift-wrapped?,Neutral
There’s a leak near the entrance.,Negative
These lights make the store look bright.,Positive
Is this on a buy-one-get-one offer?,Neutral
The fitting room door is broken.,Negative
Your billing was super quick!,Positive
Can I scan this with the app?,Neutral
The shelves are so dusty!,Negative
Everything is so easy to find here.,Positive
Do you guys sell home decor too?,Neutral
Why is this aisle blocked?,Negative
Love the fragrance section display!,Positive
Can I combine two offers?,Neutral
Staff seems too busy to help.,Negative
This jacket is exactly my style.,Positive
Are there any cashback options?,Neutral
Why are your trolleys broken?,Negative
The music selection is so calming.,Positive
Do you do express billing?,Neutral
No one responded at the counter.,Negative
I had a pleasant experience here.,Positive
Can you please check the stock?,Neutral
The basket was dirty.,Negative
This is the cutest kidswear ever.,Positive
Is gift-wrapping chargeable?,Neutral
The service desk is closed again.,Negative
Your salespeople are so friendly.,Positive
Can I get a printed invoice?,Neutral
The shelves are empty again.,Negative
You really care about customers!,Positive
Where’s the lounge area?,Neutral
There's litter on the floor.,Negative
I love how the products are arranged.,Positive
Is this available online too?,Neutral
The billing machine isn’t working.,Negative
This shirt is really good quality.,Positive
Do you offer free returns?,Neutral
I slipped on a wet floor!,Negative
Your team helped me so well.,Positive
Is this available in other stores?,Neutral
Your signage is confusing.,Negative
I got a great deal today!,Positive
Do you have any combo offers?,Neutral
The floor was sticky.,Negative
I always shop here for gifts.,Positive
Can I apply two coupons?,Neutral
Staff behavior was not good.,Negative
This is the best product display I’ve seen.,Positive
Is this returnable?,Neutral
The stairs were not cleaned.,Negative
Billing was super easy.,Positive
Do you take foreign cards?,Neutral
The bag handle broke instantly.,Negative
Thanks for the warm welcome.,Positive
Can I get this exchanged?,Neutral
No staff in electronics section.,Negative
This soap smells really fresh.,Positive
Do you have size L in this?,Neutral
There’s water spilled here.,Negative
Great price for great quality!,Positive
Do you guys take EMI payments?,Neutral
The power went out suddenly.,Negative
That was a pleasant billing experience.,Positive
Is the staff trained on returns?,Neutral
It’s suffocating in here.,Negative
This is such a budget-friendly store.,Positive
Do you have a plus-size section?,Neutral
Staff ignored me completely.,Negative
I enjoyed browsing through your sections.,Positive
Can I see other color options?,Neutral
Too many people inside!,Negative
Thanks for suggesting this product!,Positive
Is this imported or local?,Neutral
Long wait time at counters.,Negative
I love the fragrance corner.,Positive
What time do you close?,Neutral
The shelves are broken.,Negative
That was a fast refund process.,Positive
Do you guys restock weekly?,Neutral
This billing receipt has errors.,Negative
That’s a beautiful lamp!,Positive
Is alteration available here?,Neutral
Poor lighting in this section.,Negative
I love how you maintain your store.,Positive
Do you offer student discounts?,Neutral
No one is attending this counter.,Negative
This place always cheers me up.,Positive
Can I get a price check?,Neutral
This product is defective.,Negative
The mirror section is perfect.,Positive
Do you have a festive discount?,Neutral
I got the wrong item delivered.,Negative
This perfume is just perfect.,Positive
Is this item customizable?,Neutral
This corner is too congested.,Negative
I'm impressed by the range of products.,Positive
Do you have a trial kit for this?,Neutral
Why is this lane closed?,Negative
That was the best customer service I’ve had.,Positive
That mirror is placed perfectly.,Positive
Do you accept Sodexo cards?,Neutral
Why is your website down?,Negative
The staff helped me choose the right product.,Positive
Is this shelf restocked daily?,Neutral
The AC isn’t working properly.,Negative
I’m happy with my purchase.,Positive
Do you validate parking tickets?,Neutral
One of the aisles is blocked.,Negative
This is the comfiest store ever.,Positive
Can I use points from my last purchase?,Neutral
The changing rooms are unclean.,Negative
I’m a regular shopper here.,Positive
Do you provide carry bags?,Neutral
There are water leaks in the ceiling.,Negative
This collection is really trendy.,Positive
Is there a place to sit and wait?,Neutral
I waited too long in line.,Negative
These lights create a nice ambiance.,Positive
Is there a 24-hour hotline for support?,Neutral
The store smells odd today.,Negative
I always find unique items here.,Positive
Do you provide alteration services?,Neutral
Your website has incorrect prices.,Negative
The delivery was super fast.,Positive
Is this part of the combo pack?,Neutral
The billing counter was too slow.,Negative
This place has good vibes.,Positive
Where is the returns desk?,Neutral
Why is this product double-tagged?,Negative
I found everything I needed here.,Positive
Can I bill at this counter?,Neutral
The elevator is out of service again.,Negative
This is my favorite store for clothes.,Positive
Do you offer late-night delivery?,Neutral
I slipped on spilled detergent.,Negative
Your staff is very attentive.,Positive
Is that your latest collection?,Neutral
The bags are tearing too easily.,Negative
I love your fragrance options.,Positive
Is there a trial period on this?,Neutral
Why is your customer service line busy?,Negative
My kids love coming here too.,Positive
Do you deliver to nearby cities?,Neutral
That product is labeled wrong.,Negative
This collection is beautiful.,Positive
Is self-checkout available here?,Neutral
The checkout guy was rude.,Negative
Great ambiance and setup.,Positive
Can I use my wallet balance?,Neutral
The packaging was damaged.,Negative
I always get compliments on your products.,Positive
Do you offer seasonal sales?,Neutral
No tags on many clothes.,Negative
That jacket was a perfect fit!,Positive
What are your store hours?,Neutral
My card was charged twice.,Negative
This decor is really nice.,Positive
Do you take UPI payments?,Neutral
The washroom is not clean.,Negative
These prices are unbelievable.,Positive
Do you keep fresh stock on weekends?,Neutral
I was billed incorrectly.,Negative
The shoes are so comfortable.,Positive
Do you recycle returned items?,Neutral
Why is the escalator turned off?,Negative
Are there any more sizes in this?,Neutral
That item broke after one use.,Negative
Everything is well-organized.,Positive
Can I ask for a trial piece?,Neutral
Your store is understaffed.,Negative
I will definitely visit again!,Positive
Is this available on EMI?,Neutral
Product was different from image.,Negative
Thank you for the wonderful service.,Positive
Where can I scan prices?,Neutral
There's a long wait for billing.,Negative
I always enjoy shopping here.,Positive
Do you have a pick-up option?,Neutral
The display is too cluttered.,Negative
That rug feels amazing.,Positive
Do you have a feedback form?,Neutral
This light doesn’t work.,Negative
These are the best offers ever.,Positive
What brands do you stock?,Neutral
Your store layout is confusing.,Negative
I love how peaceful it feels here.,Positive
Do you guys sell online too?,Neutral
Staff didn’t attend to my queries.,Negative
The product range is amazing.,Positive
Can I pay later with credit?,Neutral
The payment gateway failed.,Negative
That candle smells divine.,Positive
Do you charge for gift wraps?,Neutral
Your labels are misleading.,Negative
You’ve got a great ambiance.,Positive
Is this the newest arrival?,Neutral
Why don’t you have stock updates?,Negative
Love the shopping experience here.,Positive
Absolutely loved the service 😍,positive
I regret trying that place 😤,negative
Weather is average today ,neutral
That was an amazing experience 🎉,positive
Totally a waste of time and money 😞,negative
Just sitting and thinking 😐,neutral
hmm,neutral
I’m feeling so good today 😄,positive
Totally disappointed by the outcome 😠,negative
I went to the store and came back 😐,neutral
you are really great at your work,positive
I can’t believe how bad that was 😡,negative
he is reading,neutral
Absolutely wonderful work,positive
This is the worst day ever 😤,negative
Just thinking about the dream,neutral
Great job by the team 😁,positive
you are disgusting,negative
It’s just another day 😶,neutral
I’m really happy with the outcome 😊,positive
Really unhappy with the result 👎,negative
Nothing special happened today 😬,neutral
Such a delightful surprise 😍,positive
I regret talking to you 💔,negative
"The event was okay, not much to say 😑",neutral
Everything turned out better than expected 😄,positive
It couldn’t have gone worse 😭,negative
I saw a movie yesterday 😐,neutral
Loved how smoothly everything went 👍,positive
Very frustrating experience 😠,negative
Didn’t feel much about that situation 🤔,neutral
The support team was incredible 🤩,positive
I’m never coming back there again 😡,negative
I just kept walking without much thought 😶,neutral
The whole vibe was so positive 😊,positive
This left me angry and drained 😤,negative
I stayed at home the whole day 😑,neutral
I did it!,positive
I’m absolutely thrilled with today’s results 😊,positive
"I expected more, honestly very let down 😠",negative
Just browsing through old photos 🤔,neutral
Everything was handled perfectly 😄,positive
"What a mess, completely unorganized 😡",negative
Sat at the park for a while 😐,neutral
"The food was incredible, compliments to the chef 🤩",positive
The delivery was super late and cold 😤,negative
"Didn’t think too much today, just floated 😶",neutral
My weekend couldn’t have been better 😍,positive
Worst service I’ve had all year 👎,negative
"Wasn’t good, wasn’t bad either 🧐",neutral
Really grateful for all the support 🎉,positive
The experience left a bad taste 💔,negative
Watched the rain fall all evening 😑,neutral
Loved the atmosphere and energy 🤩,positive
Never been so frustrated before 😠,negative
I just walked around the mall 😐,neutral
Got a sweet message that made my day 😊,positive
They completely ruined the surprise 😞,negative
"Heard a few songs, they were fine 🤔",neutral
So proud of what we accomplished today 🎉,positive
Horrible behavior from the staff 😡,negative
Kind of just zoned out all afternoon 😬,neutral
The performance was breathtaking 😍,positive
"Everything broke down, nothing worked 😭",negative
"Didn’t feel excited, but not upset either 😐",neutral
Truly inspiring work by the team 🤩,positive
Very dissatisfied with the service 👎,negative
Listened to a podcast and relaxed 😶,neutral
he knows how to play,neutral
Absolutely proud of my team today 😁,positive
Can’t express how disappointed I am 💔,negative
